#true_vals	#preds
0.00210836	0.012715583520059486
0.001330456	0.011085764092951587
0.0302612917	0.12846037407839173
7.5639e-06	0.0007050246521552393
0.0376089	0.1134572438689999
0.000935866	0.00331744247286529
0.0300847	0.05989897414805323
0.000390749	0.000937223521169897
0.010346	0.003983044117170953
6.00353e-05	0.0002740313426256177
8.35658e-05	0.0006703145405715868
8.40183e-05	0.00031248428889802624
5.70246e-05	0.0006765412815572443
0.000172578	0.0013513453152549765
0.000110745	0.0007403372995422277
0.0164216	0.00891842973909256
0.0114347	0.036822074744838236
