#true_vals	#preds
0.00210836	0.04516533740029627
0.001330456	0.000914311870157248
0.0302612917	0.04698520167594518
7.5639e-06	0.04334779073634491
0.0376089	0.04491850434848863
0.000935866	0.04370787448500056
0.0300847	0.04874366628559689
0.0003907	9.366376123272341e-05
0.010346	0.009408441011090117
6.00353e-05	0.00017107917790045016
8.35658e-05	0.0002592771009407541
8.40183e-05	0.0007994978390619102
5.70246e-05	3.885935029532739e-05
0.000172578	0.0027953873334304316
0.000110745	0.0002755717656757633
0.0164216	0.02209160730631386
0.0114347	0.03829343732563223
